ts,open,high,low,close,vol
1736163000,99248.69,99410.23,99165.43,99259.99,238.67605
1736164800,99259.99,99713.13,99259.99,99572.49,344.62628
1736166600,99572.49,99572.5,99142.43,99157.12,279.51781
1736168400,99157.12,99363.6,98909.82,99320.03,376.83974
1736170200,99320.03,99575.85,99137.47,99492.51,254.38499
1736172000,99492.5,99600.0,98711.94,99055.01,649.22156
1736173800,99055.0,101295.23,98870.55,100737.03,2838.66381
1736175600,100737.03,101700.62,100481.99,101678.1,2022.22758
1736177400,101678.11,102468.92,101636.36,102147.95,1642.74181
1736179200,102147.95,102480.0,101973.11,102440.02,1131.76921
1736181000,102440.01,102469.35,101719.59,102158.67,1013.82095
1736182800,102158.67,102158.68,101717.44,101830.53,712.63377
1736184600,101830.54,101983.19,101250.0,101831.95,804.41836
1736186400,101831.95,102029.02,101578.12,101933.84,478.79988
1736188200,101933.84,102053.61,101671.39,101738.8,355.50572
1736190000,101738.81,102032.0,101639.6,101892.96,345.67601
1736191800,101892.96,102030.3,101737.5,101817.22,285.50413
1736193600,101817.22,102318.5,101804.0,102114.94,544.51983
1736195400,102114.94,102300.0,101800.0,102127.38,914.024
1736197200,102126.9,102329.98,101950.0,102060.6,662.57152
1736199000,102060.61,102070.32,101600.05,101611.92,347.62638
1736200800,101611.92,101970.0,101600.06,101928.58,219.46376
1736202600,101928.58,102084.13,101928.58,102011.98,145.6938
1736204400,102011.98,102176.87,101896.87,102082.76,280.84943
1736206200,102082.76,102239.58,101980.02,102235.6,155.01841
1736208000,102235.6,102423.57,101950.0,102380.85,354.36739
1736209800,102380.85,102724.38,101969.8,102042.46,626.00339
1736211600,102042.47,102071.9,101684.95,101685.27,302.34138
1736213400,101685.27,102026.6,101685.26,101915.66,255.96451
1736215200,101915.66,102018.98,101848.49,101848.49,178.99443
1736217000,101848.5,101876.27,101651.67,101677.66,213.41479
1736218800,101677.66,101818.19,101637.0,101655.51,223.46229
1736220600,101655.51,101798.42,101512.91,101708.08,202.8672
1736222400,101708.09,101878.79,101708.08,101878.78,140.98608
1736224200,101878.79,101925.77,101667.01,101667.02,148.11348
1736226000,101667.02,101786.07,101582.79,101718.53,176.67218
1736227800,101718.53,101749.15,101629.06,101743.47,164.91611
1736229600,101743.47,101894.47,101648.56,101832.89,168.83422
1736231400,101832.9,101858.2,101780.2,101820.53,167.168
