ts,oi
1776918600,102243.079
1776919500,102283.787
1776920400,102210.128
1776921300,102200.036
1776922200,102423.327
1776923100,102508.615
1776924000,102343.592
1776924900,102239.431
1776925800,102064.031
1776926700,102080.312
1776927600,102116.355
1776928500,102130.334
1776929400,102158.903
1776930300,102034.491
1776931200,101900.849
1776932100,101841.028
1776933000,101853.828
1776933900,101486.962
1776934800,101225.556
1776935700,100598.732
1776936600,100399.374
1776937500,100314.729
1776938400,100283.638
1776939300,97847.25
1776940200,97772.284
1776941100,97731.524
1776942000,97775.443
1776942900,97832.038
1776943800,97784.24
1776944700,97671.773
1776945600,97559.939
1776946500,97877.21
1776947400,97950.235
1776948300,98196.871
1776949200,98056.981
1776950100,97942.161
1776951000,98103.619
1776951900,98058.159
1776952800,98007.479
1776953700,98109.937
1776954600,97940.302
1776955500,98074.838
1776956400,98216.741
1776957300,98387.68
1776958200,98102.274
1776959100,98362.306
1776960000,98357.762
1776960900,98520.291
1776961800,98564.99
1776962700,98808.143
1776963600,98944.441
1776964500,98739.138
1776965400,99264.957
1776966300,98556.914
1776967200,98142.7
1776968100,98356.267
1776969000,98404.645
1776969900,98549.598
1776970800,98404.546
1776971700,98497.738
1776972600,98545.639
1776973500,98503.406
1776974400,98668.04
1776975300,98692.059
1776976200,98744.53
1776977100,98471.72
1776978000,98495.188
1776978900,98534.957
1776979800,98530.534
1776980700,98590.26
1776981600,98636.346
1776982500,99051.322
1776983400,99035.934
1776984300,99058.794
1776985200,99111.628
1776986100,99085.216
1776987000,99032.173
1776987900,99071.557
1776988800,99156.659
1776989700,99242.01
1776990600,99277.215
1776991500,99351.464
1776992400,99300.378
1776993300,98890.126
1776994200,98883.568
1776995100,98892.328
1776996000,98844.369
1776996900,98721.102
1776997800,98799.43
1776998700,98987.45
1776999600,98880.93
1777000500,98870.659
1777001400,98279.402
1777002300,98213.43
1777003200,98009.72
1777004100,97931.892
1777005000,97787.439
1777005900,97681.684
1777006800,97665.959
1777007700,97568.457
1777008600,97569.967
1777009500,97564.922
1777010400,98350.781
1777011300,98355.235
1777012200,98333.37
1777013100,98377.422
1777014000,98359.982
1777014900,98330.593
1777015800,98158.516
1777016700,97815.918
1777017600,97355.653
1777018500,97327.955
1777019400,97189.75
1777020300,97110.83
1777021200,97049.467
1777022100,96585.135
1777023000,96504.036
1777023900,96461.84
1777024800,96438.65
1777025700,96391.287
1777026600,96312.091
1777027500,96269.714
1777028400,96120.595
1777029300,96232.456
1777030200,96137.157
1777031100,96080.635
1777032000,96330.378
1777032900,96541.38
1777033800,96663.778
1777034700,96818.846
1777035600,96901.887
